language	ID	basic	np	Dist_D	Dist_N	Dist_A	Surprisal2	DepLen
Afrikaans_2.8	2013813	SVO	DAN_	3	1	2	5.844	2.638
Afrikaans_2.8	4122336	SVO	DAN_	3	1	2	5.895	2.723
Afrikaans_2.8	4648512	OSV	A_ND	2	1	1	5.926	2.651
Afrikaans_2.8	5585334	SVO	A_ND	2	1	1	5.981	3.17
Afrikaans_2.8	5858881	SVO	A_ND	2	1	1	5.848	2.724
Afrikaans_2.8	6873245	SVO	AN_D	1	1	2	5.822	2.884
Afrikaans_2.8	899379	SVO	DAN_	3	1	2	5.864	2.674
Akkadian_2.8	1310615	SOV	NDA_	2	3	1	4.453	3.214
Akkadian_2.8	3540093	SVO	DA_N	2	1	1	4.549	3.864
Akkadian_2.8	3968555	SOV	DNA_	3	2	1	4.464	3.434
Akkadian_2.8	475237	SOV	NDA_	2	3	1	4.46	3.227
Akkadian_2.8	5165281	SOV	DNA_	3	2	1	4.466	3.436
Akkadian_2.8	5657232	SOV	DNA_	3	2	1	4.452	3.246
Akkadian_2.8	6122332	SOV	DNA_	3	2	1	4.464	3.434
Akkadian_2.8	7417663	SOV	NDA_	2	3	1	4.489	3.255
Akkadian_2.8	8418533	OSV	DNA_	3	2	1	4.454	3.24
Akkadian_2.8	8429801	SOV	DNA_	3	2	1	4.478	3.366
Akkadian_2.8	845759	SOV	DA_N	2	1	1	4.585	4.047
Akkadian_2.8	8833578	SOV	NDA_	2	3	1	4.475	3.217
Akkadian_2.8	9384418	SOV	A_ND	2	1	1	4.55	3.865
Akkadian_2.8	9562704	SOV	NDA_	2	3	1	4.469	3.214
Amharic_2.8	2022281	SVO	A_DN	1	2	1	4.967	2.15
Amharic_2.8	2391972	SOV	AN_D	1	1	2	5.113	2.382
Amharic_2.8	3968002	SVO	AN_D	1	1	2	5.002	2.087
Amharic_2.8	4514377	SVO	AN_D	1	1	2	4.97	2.091
Amharic_2.8	514741	SOV	AN_D	1	1	2	4.94	2.696
Amharic_2.8	6334875	SVO	AN_D	1	1	2	4.99	2.145
Amharic_2.8	6431343	SVO	AND_	1	2	3	4.967	2.086
Amharic_2.8	7431797	SOV	A_DN	1	2	1	5.015	2.438
Amharic_2.8	7509365	SVO	AND_	1	2	3	5.029	2.14
Amharic_2.8	7891027	SVO	AN_D	1	1	2	4.949	2.164
Amharic_2.8	8751381	SOV	DAN_	3	1	2	5.106	2.42
Amharic_2.8	8759717	SVO	DAN_	3	1	2	5.068	1.895
Amharic_2.8	9132469	SVO	A_DN	1	2	1	4.958	2.194
Amharic_2.8	9680	SVO	AN_D	1	1	2	5.001	2.239
Ancient_Greek_2.8	7944848	SOV	AD_N	1	1	2	7.507	2.45
Arabic_2.8	1120807	OSV	NAD_	1	3	2	2.47	3.724
Arabic_2.8	1708369	OSV	DAN_	3	1	2	2.482	3.26
Arabic_2.8	1912315	OSV	DNA_	3	2	1	2.49	3.285
Arabic_2.8	6293912	OSV	NDA_	2	3	1	2.481	3.236
Arabic_2.8	8261163	OSV	NAD_	1	3	2	2.462	2.943
Arabic_2.8	9206733	SOV	NAD_	1	3	2	2.493	3.711
Armenian_2.8	109250	SVO	DNA_	3	2	1	7.916	2.792
Armenian_2.8	1208630	SVO	A_ND	2	1	1	7.903	2.904
Armenian_2.8	1254660	SVO	A_ND	2	1	1	7.904	2.892
Armenian_2.8	2515331	SVO	A_ND	2	1	1	7.922	3.115
Armenian_2.8	3313760	SVO	DAN_	3	1	2	7.924	3.049
Armenian_2.8	340596	OSV	NA_D	1	2	1	7.972	3.008
Armenian_2.8	5311831	SVO	A_ND	2	1	1	7.906	2.93
Armenian_2.8	6949064	SVO	A_ND	2	1	1	7.905	2.891
Armenian_2.8	7129573	OSV	NA_D	1	2	1	7.935	3.074
Armenian_2.8	7263185	SVO	A_ND	2	1	1	7.902	2.901
Armenian_2.8	7757231	SVO	A_ND	2	1	1	7.906	2.903
Armenian_2.8	8432305	SVO	A_ND	2	1	1	7.937	3.329
Armenian_2.8	8494317	SVO	A_ND	2	1	1	7.908	2.923
Armenian_2.8	9108301	SVO	A_ND	2	1	1	7.913	2.923
Bambara_2.8	1452032	SVO	AN_D	1	1	2	4.344	2.15
Bambara_2.8	1586408	SOV	NA_D	1	2	1	4.447	2.121
Bambara_2.8	1813796	SOV	NDA_	2	3	1	4.371	2.183
Bambara_2.8	2664156	SOV	A_ND	2	1	1	4.433	2.31
Bambara_2.8	4846626	SVO	NA_D	1	2	1	4.355	2.202
Bambara_2.8	7143793	SVO	NA_D	1	2	1	4.379	2.379
Bambara_2.8	7315624	SOV	A_DN	1	2	1	4.373	2.216
Bambara_2.8	7549979	SOV	NDA_	2	3	1	4.365	2.245
Basque_2.8	1185092	OSV	DNA_	3	2	1	7.863	2.184
Basque_2.8	3060144	OSV	DNA_	3	2	1	7.837	2.269
Basque_2.8	365629	SOV	DNA_	3	2	1	7.862	2.217
Basque_2.8	3755144	SOV	DNA_	3	2	1	7.981	2.561
Basque_2.8	4557361	SOV	DNA_	3	2	1	7.793	2.53
Basque_2.8	686560	OSV	DNA_	3	2	1	7.833	2.271
Basque_2.8	6993646	SOV	DAN_	3	1	2	7.867	2.272
Basque_2.8	918607	OSV	DNA_	3	2	1	7.831	2.261
